GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo-server,fr.uga.miage.m1,MyApplication,13,0,0,0,5,0,3,0,3,0
demo-server,fr.uga.miage.m1,TestEntity,17,0,0,0,4,0,5,0,5,0
demo-server,fr.uga.miage.m1,DatabaseSeeder,19,0,0,0,7,0,2,0,2,0
demo-server,fr.uga.miage.m1.model.entities,Region,10,0,0,0,3,0,3,0,3,0
demo-server,fr.uga.miage.m1.model.entities,Domaine,10,0,0,0,3,0,3,0,3,0
demo-server,fr.uga.miage.m1.model.entities,Panier,31,0,0,0,6,0,9,0,9,0
demo-server,fr.uga.miage.m1.model.entities,AEtapeId,3,0,0,0,1,0,1,0,1,0
demo-server,fr.uga.miage.m1.model.entities,Organisateur,3,0,0,0,1,0,1,0,1,0
demo-server,fr.uga.miage.m1.model.entities,TypeLieu,17,0,0,0,4,0,5,0,5,0
demo-server,fr.uga.miage.m1.model.entities,Festival,73,0,0,0,12,0,21,0,21,0
demo-server,fr.uga.miage.m1.model.entities,Covoitureur,3,0,0,0,1,0,1,0,1,0
demo-server,fr.uga.miage.m1.model.entities,Festivalier,24,0,0,0,5,0,7,0,7,0
demo-server,fr.uga.miage.m1.model.entities,SousDomaine,17,0,0,0,4,0,5,0,5,0
demo-server,fr.uga.miage.m1.model.entities,ReservationId,3,0,0,0,1,0,1,0,1,0
demo-server,fr.uga.miage.m1.model.entities,AEtape,38,0,0,0,7,0,11,0,11,0
demo-server,fr.uga.miage.m1.model.entities,Departement,24,0,0,0,5,0,7,0,7,0
demo-server,fr.uga.miage.m1.model.entities,ArretCovoiturage,59,0,0,0,10,0,17,0,17,0
demo-server,fr.uga.miage.m1.model.entities,Utilisateur,24,0,0,0,5,0,7,0,7,0
demo-server,fr.uga.miage.m1.model.entities,Lieu,45,0,0,0,8,0,13,0,13,0
demo-server,fr.uga.miage.m1.model.entities,OffreCovoiturage,59,0,0,0,10,0,17,0,17,0
demo-server,fr.uga.miage.m1.model.entities,Reservation,38,0,0,0,7,0,11,0,11,0
